"","Gender","Age","Occupation","City_Category","Stay_In_Current_City_Years","Martial_Status","Product_num","Purchase"
"73","F","0-17","10","3","5","0","110","1035228"
"74","M","36-45","7","2","3","1","51","597730"
"75","M","18-25","4","3","3","0","21","147366"
"76","F","46-50","1","3","1","1","85","582306"
"77","F","46-50","0","1","2","0","16","124477"
"78","M","55+","1","3","4","1","31","339119"
"79","F","26-35","0","1","2","1","51","624777"
"80","M","26-35","17","3","3","1","59","645708"
"81","F","26-35","2","3","2","0","52","529819"
"82","M","18-25","4","3","2","0","22","277125"
"83","M","18-25","4","3","2","0","19","148849"
"84","F","0-17","10","3","4","0","23","294050"
"85","M","26-35","14","3","3","0","37","407327"
"86","F","46-50","1","3","2","1","33","329348"
"87","F","55+","9","3","2","1","13","112226"
"88","M","55+","13","3","2","0","137","1310621"
"89","M","36-45","7","3","4","1","23","210912"
"90","F","18-25","4","2","2","0","223","1573914"
"91","M","26-35","17","2","2","1","114","1275628"
"92","M","26-35","17","3","2","0","7","49288"
"93","M","46-50","0","3","5","1","55","580281"
"94","F","26-35","16","3","3","1","43","444238"
"95","F","36-45","3","3","4","0","82","866904"
"96","F","36-45","7","3","3","1","13","154510"
"97","F","0-17","10","3","2","0","64","506413"
"98","M","36-45","17","3","5","0","41","461932"
"99","F","18-25","3","1","2","0","65","1138239"
"100","M","36-45","19","3","4","0","86","640264"
"101","M","46-50","7","2","3","1","65","1016811"
"102","M","26-35","12","3","4","1","28","215030"
"103","M","46-50","12","3","2","1","40","636089"
"104","F","36-45","11","3","5","0","30","249376"
"105","M","46-50","18","3","5","0","64","578478"
"106","M","26-35","12","3","4","0","14","120872"
"107","M","46-50","15","3","2","1","43","468318"
"108","M","26-35","2","2","5","0","40","435574"
"109","M","36-45","15","3","4","0","54","520893"
"110","M","26-35","16","3","4","1","29","413216"
"111","M","18-25","12","3","3","0","35","360020"
"112","F","26-35","2","3","1","0","51","417983"
"113","M","26-35","17","3","3","1","55","590875"
"114","M","26-35","17","1","3","1","282","2742049"
"115","M","36-45","17","3","5","0","118","1301582"
"116","F","0-17","10","3","2","0","56","420788"
"117","M","26-35","11","3","1","0","32","343809"
"118","M","36-45","7","3","3","0","41","586434"
"119","F","18-25","4","3","2","0","26","271183"
"120","M","36-45","9","2","5","1","352","3237092"
"121","M","55+","7","3","2","1","14","135960"
"122","M","46-50","14","2","4","1","36","504628"
"123","M","18-25","9","2","2","0","29","333598"
"124","F","46-50","3","3","2","1","100","1171261"
"125","M","55+","6","1","2","1","12","139365"
"126","M","26-35","11","3","3","0","84","1253576"
"127","M","36-45","17","2","4","1","79","1274511"
"128","M","18-25","4","3","5","0","152","1271630"
"129","M","26-35","17","3","2","0","45","345438"
"130","F","26-35","0","3","2","1","92","801838"
"131","M","26-35","0","3","4","1","101","877030"
"132","M","18-25","4","3","2","1","38","360612"
"133","M","18-25","2","2","4","0","227","1562462"
"134","F","46-50","6","3","5","1","124","1273401"
"135","M","18-25","20","3","2","1","36","593019"
"136","F","26-35","20","3","3","0","136","1500089"
"137","F","36-45","1","2","4","0","32","328944"
"138","M","36-45","13","3","2","1","13","115058"
"139","M","26-35","7","1","3","0","33","301086"
"140","M","18-25","3","3","1","0","36","375606"
"141","M","26-35","17","3","2","1","22","234047"
"142","M","18-25","4","3","5","0","29","195522"
"143","F","36-45","20","2","4","1","238","2257255"
"144","M","18-25","4","2","5","0","95","1094887"
"145","M","51-55","17","2","4","1","338","3617268"
"146","M","26-35","1","2","3","1","333","3774602"
"147","M","36-45","7","2","1","1","134","1225932"
"148","F","26-35","20","1","2","1","283","2560797"
"149","M","18-25","4","1","4","0","17","128655"
"150","M","0-17","10","3","1","0","14","124933"
"151","M","51-55","20","1","5","1","34","281332"
"152","M","36-45","12","3","5","1","53","360224"
"153","F","46-50","7","3","5","1","76","689059"
"154","M","36-45","16","1","2","0","217","2228762"
"155","M","55+","7","3","3","1","14","184952"
"156","F","46-50","0","1","2","1","23","224103"
"157","M","36-45","7","3","4","0","9","84567"
"158","M","46-50","16","3","5","1","184","1884662"
"159","F","18-25","4","3","5","0","55","686358"
"160","M","18-25","4","1","2","0","271","1633731"
"161","F","55+","13","3","2","0","18","155793"
"162","M","18-25","16","1","2","0","57","602989"
"163","M","18-25","4","2","2","1","216","2073133"
"164","F","26-35","11","2","5","0","28","186597"
"165","F","51-55","0","3","1","1","13","134217"
"166","M","26-35","7","2","4","0","312","2850480"
"167","M","26-35","11","3","2","1","42","537275"
"168","F","51-55","17","2","2","1","15","208924"
"169","M","26-35","3","3","3","0","15","213016"
"170","M","26-35","0","2","2","1","314","3204589"
"171","M","26-35","16","3","3","0","55","762896"
"172","F","26-35","2","2","2","0","170","1458898"
"173","F","18-25","3","3","2","0","39","319661"
"174","M","51-55","1","2","4","1","30","389564"
"175","M","55+","17","1","3","1","66","540534"
"176","M","26-35","0","1","2","0","66","486738"
"177","M","46-50","12","3","5","0","30","258215"
"178","M","18-25","17","3","2","0","169","1788665"
"179","M","18-25","4","3","1","0","54","490892"
"180","F","46-50","1","2","2","1","64","660777"
"181","F","26-35","0","3","5","1","52","572923"
"182","M","46-50","0","3","1","0","31","435266"
"183","M","18-25","5","3","1","0","58","652330"
"184","F","46-50","1","2","2","0","243","2252669"
"185","M","55+","16","3","3","0","41","402149"
"186","M","18-25","0","2","3","0","19","209947"
"187","M","26-35","17","1","2","0","80","778557"
"188","M","18-25","4","3","2","1","16","117323"
"189","M","18-25","1","2","3","0","284","2405964"
"190","F","46-50","15","3","2","1","136","1192284"
"191","F","0-17","10","3","4","0","35","261915"
"192","M","26-35","12","2","5","1","466","4532014"
"193","F","36-45","9","3","5","0","19","227342"
"194","M","18-25","14","1","4","0","16","143289"
"195","M","26-35","12","1","1","1","207","2114695"
"196","M","18-25","4","2","2","0","206","1824863"
"197","F","18-25","4","3","1","0","14","129684"
"198","F","36-45","2","1","2","0","51","465389"
"199","M","18-25","4","1","4","0","379","3195955"
"200","F","18-25","4","2","2","1","65","389087"
"201","M","26-35","7","2","2","1","246","2424484"
"202","M","36-45","12","1","2","0","84","923914"
"203","M","26-35","17","3","2","0","15","152341"
"204","M","26-35","12","2","2","1","13","113722"
"205","M","36-45","17","3","2","1","108","1110185"
"206","M","36-45","1","2","5","0","13","86732"
"207","F","0-17","10","3","1","0","57","883170"
"208","M","46-50","17","3","2","1","21","224683"
"209","M","26-35","16","3","4","0","67","679266"
"210","F","18-25","4","3","2","0","9","98148"
"211","M","18-25","20","3","2","0","93","751383"
"212","M","36-45","14","3","2","1","16","237988"
"213","M","46-50","13","2","2","0","429","3140734"
"214","M","18-25","4","1","2","0","13","144311"
"215","M","36-45","14","3","4","1","49","381710"
"216","F","26-35","4","1","1","0","21","175433"
"217","M","26-35","12","1","4","0","56","620511"
"218","F","26-35","0","2","3","1","18","130596"
"219","M","26-35","1","1","2","0","38","428425"
"220","M","26-35","17","2","5","0","130","1125876"
"221","M","26-35","7","1","1","0","292","2483218"
"222","M","36-45","1","3","2","0","10","93001"
"223","M","36-45","20","2","1","0","17","165449"
"224","M","26-35","15","1","2","0","21","233015"
"225","M","18-25","10","3","2","0","114","909730"
"226","M","46-50","1","3","2","0","99","1071044"
"227","M","26-35","3","1","2","0","54","627470"
"228","M","26-35","20","1","2","1","54","413859"
"229","F","46-50","20","3","3","1","28","273514"
"230","M","36-45","7","3","3","0","20","197800"
"231","M","26-35","0","2","1","0","268","2682668"
"232","M","26-35","5","2","3","0","32","373171"
"233","M","26-35","6","3","2","1","88","659824"
"234","F","51-55","7","2","1","0","139","1188497"
"235","M","18-25","19","1","2","0","38","373260"
"236","M","51-55","17","1","2","1","85","854285"
"237","M","36-45","20","3","2","1","27","335285"
"238","F","18-25","4","1","4","0","165","1533937"
"239","M","26-35","16","3","2","0","14","107183"
"240","M","51-55","7","2","4","1","50","541740"
"241","M","36-45","16","2","1","0","435","2958852"
"242","F","18-25","4","3","2","0","14","135027"
"243","M","26-35","17","2","2","0","21","179944"
"244","M","18-25","17","2","2","1","17","235693"
"245","F","18-25","14","3","3","0","62","684768"
"246","M","36-45","16","3","2","0","11","112574"
"247","M","55+","17","1","1","1","40","413617"
"248","M","26-35","12","3","4","0","28","368735"
"249","F","26-35","11","3","2","0","28","258476"
"250","M","36-45","17","3","5","0","12","113747"
"251","M","36-45","0","3","2","1","130","1455520"
"252","M","46-50","16","3","4","0","55","860222"
"253","M","18-25","18","1","2","0","34","445108"
"254","M","26-35","7","3","1","1","75","783543"
"255","M","26-35","1","2","5","0","80","852767"
"256","M","18-25","19","3","2","0","89","1134282"
"257","M","26-35","20","1","5","0","217","2043390"
"258","F","26-35","1","3","2","0","62","639825"
"259","F","26-35","7","3","2","0","48","507046"
"260","M","36-45","0","2","2","1","274","2114902"
"261","F","36-45","7","1","5","1","52","414690"
"262","M","36-45","11","3","4","0","31","310200"
"263","M","46-50","12","3","2","1","77","590040"
"264","F","18-25","12","3","2","0","143","1248334"
"265","M","26-35","2","1","2","1","16","119678"
"266","M","51-55","14","2","3","1","75","922239"
"267","M","18-25","4","3","2","0","188","1975959"
"268","M","18-25","0","1","2","0","279","2852051"
"269","M","18-25","4","2","3","1","116","1240141"
"270","M","18-25","4","1","5","0","78","866140"
"271","M","26-35","0","3","4","1","52","544614"
"272","M","46-50","16","3","5","0","18","171897"
"273","F","36-45","1","3","3","0","15","175796"
"274","M","46-50","18","3","5","1","113","859923"
"275","M","26-35","14","3","4","0","26","233557"
"276","M","51-55","7","3","1","1","26","189891"
"277","F","36-45","0","1","3","0","65","596211"
"278","M","26-35","17","3","5","1","14","164620"
"279","M","26-35","0","2","2","0","17","244500"
"280","M","26-35","12","2","4","1","275","2253516"
"281","F","36-45","0","1","2","0","69","771916"
"282","M","26-35","1","3","4","0","25","246138"
"283","M","51-55","13","2","2","1","64","570606"
"284","F","26-35","0","3","2","0","36","457657"
"285","F","26-35","20","3","5","0","17","160545"
"286","M","36-45","12","2","3","0","55","468257"
"287","M","36-45","7","3","1","1","23","258337"
"288","M","55+","1","3","2","1","175","1246368"
"289","F","46-50","9","3","4","1","18","127429"
"290","M","18-25","0","3","5","0","104","1200295"
"291","M","51-55","5","3","5","1","57","502982"
"292","M","18-25","2","3","4","1","47","578240"
"293","F","18-25","4","3","3","0","14","137224"
"294","M","26-35","12","3","5","0","64","717925"
"295","M","26-35","7","2","5","1","154","1789852"
"296","M","18-25","4","2","5","0","203","1969538"
"297","M","18-25","4","2","5","0","454","3225955"
"298","M","26-35","7","3","2","1","124","1090728"
"299","M","26-35","0","2","2","0","13","182592"
"300","F","18-25","0","2","4","1","93","510332"
"301","M","18-25","0","3","4","0","112","1181748"
"302","M","51-55","16","2","1","1","113","1323727"
"303","M","26-35","2","1","4","1","322","2790537"
"304","M","26-35","4","2","2","0","64","734896"
"305","F","18-25","4","3","2","0","121","932112"
"306","M","18-25","4","3","4","1","11","165653"
"307","F","51-55","2","2","1","0","30","258012"
"308","F","18-25","4","1","5","0","13","128453"
"309","F","55+","9","3","2","0","173","1482903"
"310","F","55+","1","1","4","1","12","84882"
"311","M","55+","13","3","2","0","39","555750"
"312","M","36-45","7","3","4","0","13","120376"
"313","F","55+","13","1","2","1","13","121960"
"314","F","51-55","6","2","4","1","420","3292557"
"315","M","36-45","6","3","5","0","8","91410"
"316","M","18-25","4","2","4","0","135","1363801"
"317","M","55+","17","1","4","1","17","180227"
"318","M","46-50","12","3","2","0","59","556213"
"319","M","36-45","17","2","1","1","47","432511"
"320","F","51-55","3","1","2","0","25","195099"
"321","M","51-55","11","2","2","1","218","1774938"
"322","M","36-45","18","3","5","0","131","1257891"
"323","M","36-45","12","3","3","0","32","360181"
"324","M","36-45","7","1","2","0","446","3007048"
"325","M","55+","7","3","3","0","41","461751"
"326","M","26-35","7","2","2","0","339","3269790"
"327","M","51-55","1","3","4","1","41","410935"
"328","M","36-45","2","1","1","1","136","866550"
"329","F","55+","2","1","4","1","39","328893"
"330","M","36-45","18","3","1","1","95","775552"
"331","M","18-25","0","3","5","0","57","745235"
"332","M","18-25","19","3","1","0","99","1098108"
"333","M","36-45","7","1","2","0","202","2027122"
"334","M","51-55","7","3","2","1","70","625742"
"335","F","26-35","3","3","2","1","62","471388"
"336","F","55+","13","3","3","1","10","137534"
"337","M","18-25","12","3","5","0","71","758556"
"338","F","36-45","3","2","3","0","156","1664013"
"339","M","36-45","14","3","2","1","53","531714"
"340","M","26-35","12","1","3","1","14","154655"
"341","F","26-35","0","2","3","0","173","1537119"
"342","F","55+","1","1","2","0","59","510992"
"343","M","51-55","7","2","3","1","55","458023"
"344","M","0-17","10","3","1","0","154","1445812"
"345","M","46-50","20","3","4","0","33","364359"
"346","M","18-25","4","1","5","0","63","735002"
"347","M","18-25","4","1","1","0","486","4355777"
"348","F","36-45","7","3","2","1","13","170793"
"349","M","36-45","1","1","2","0","29","280864"
"350","M","18-25","3","2","3","0","250","2378897"
"351","M","55+","20","3","1","1","12","142643"
"352","M","18-25","0","1","5","0","37","331204"
"353","M","26-35","17","2","2","0","20","207005"
"354","M","36-45","17","3","2","0","35","421341"
"355","F","26-35","14","2","4","0","10","77648"
"356","M","36-45","20","2","2","0","25","248250"
"357","M","18-25","10","2","2","1","27","308134"
"358","F","36-45","1","3","4","0","14","94601"
"359","F","18-25","4","1","2","0","26","183492"
"360","M","51-55","15","2","2","1","134","1410122"
"361","M","26-35","0","3","2","0","193","2039973"
"362","M","36-45","1","2","3","0","49","323035"
"363","M","18-25","17","3","4","0","35","383334"
"364","M","18-25","4","2","5","0","49","436717"
"365","F","18-25","4","3","3","0","79","1059484"
"366","F","26-35","2","3","2","1","18","209499"
"367","F","36-45","14","3","1","0","27","403245"
"368","M","26-35","2","2","2","0","30","298961"
"369","M","36-45","1","3","5","1","55","534856"
"370","M","26-35","17","2","3","0","77","920696"
"371","F","18-25","0","1","2","1","22","182644"
"372","F","36-45","1","3","5","0","41","382811"
"373","M","26-35","2","3","2","0","85","729368"
"374","M","36-45","17","3","3","0","18","259191"
"375","F","36-45","20","2","1","1","34","296701"
"376","F","26-35","7","1","5","1","13","117333"
"377","M","26-35","11","2","4","1","17","169138"
"378","M","26-35","6","3","2","0","72","840684"
"379","M","26-35","0","1","2","1","149","1161241"
"380","F","36-45","7","3","1","0","45","365489"
"381","F","26-35","0","2","4","1","35","283367"
"382","M","26-35","6","3","1","0","44","400832"
"383","M","26-35","4","1","1","0","123","946860"
"384","M","46-50","11","3","3","1","37","431469"
"385","M","18-25","7","1","1","0","268","2219577"
"386","M","36-45","17","3","5","0","40","335223"
"387","M","18-25","0","3","2","0","19","231657"
"388","M","18-25","5","1","1","0","10","65645"
"389","M","26-35","1","3","2","0","95","689039"
"390","M","36-45","17","2","3","0","20","234627"
"391","M","26-35","17","2","4","1","124","1257749"
"392","F","36-45","6","2","2","1","12","125042"
"393","F","18-25","3","3","3","1","22","223380"
"394","M","18-25","0","2","4","0","41","415330"
"395","M","26-35","11","2","2","1","159","1369148"
"396","M","18-25","4","1","3","0","166","1694402"
"397","M","18-25","4","2","2","0","30","291285"
"398","M","55+","1","3","3","0","28","201691"
"399","M","26-35","20","1","4","0","78","721522"
"400","M","18-25","17","3","2","0","17","162159"
"401","M","26-35","11","1","1","0","89","1010262"
"402","M","18-25","12","2","5","0","162","1595969"
"403","F","26-35","1","2","5","0","59","458378"
"404","F","46-50","1","2","1","1","358","2617637"
"405","M","36-45","15","1","2","1","254","2709697"
"406","M","26-35","11","3","1","0","54","508416"
"407","M","26-35","0","3","5","0","36","283657"
"408","F","36-45","0","1","3","1","155","1397756"
"409","M","46-50","14","3","4","1","35","352175"
"410","F","26-35","0","3","1","1","15","171561"
"411","F","26-35","3","2","1","1","34","392719"
"412","M","18-25","3","3","2","0","63","642655"
"413","M","36-45","1","1","2","0","40","417100"
"414","F","46-50","3","1","2","1","10","132729"
"415","M","55+","17","1","5","0","27","311925"
"416","M","18-25","4","1","2","0","37","243029"
"417","M","26-35","17","1","4","0","694","6573609"
"418","M","26-35","12","2","2","1","111","979748"
"419","M","18-25","4","1","2","1","132","1530458"
"420","M","36-45","12","1","3","0","12","127321"
"421","M","18-25","0","3","2","0","206","2001630"
"422","F","18-25","10","3","2","1","33","260052"
"423","M","18-25","10","2","4","0","43","442237"
"424","M","46-50","16","3","2","1","35","238091"
"425","M","51-55","6","3","4","1","27","187847"
"426","F","46-50","3","3","2","0","25","222673"
"427","M","26-35","7","1","5","0","70","939581"
"428","M","18-25","4","3","2","0","75","797147"
"429","M","36-45","17","3","3","1","32","355255"
"430","M","18-25","11","1","4","0","321","2792112"
"431","M","36-45","14","2","4","1","54","549700"
"432","M","55+","1","3","3","1","14","155100"
"433","M","36-45","1","2","2","0","29","366667"
"434","M","26-35","1","1","3","0","244","2258438"
"435","M","26-35","3","1","1","1","22","249879"
"436","M","55+","0","1","4","0","71","624355"
"437","M","46-50","12","1","2","1","160","1584561"
"438","F","51-55","0","3","3","0","30","327032"
"439","F","46-50","11","1","2","0","18","167098"
"440","M","26-35","17","3","1","0","11","100832"
"441","M","26-35","7","3","4","0","32","299113"
"442","M","46-50","1","3","2","1","28","256616"
"443","M","55+","13","3","5","1","115","1175712"
"444","M","51-55","17","1","4","1","73","860138"
"445","M","18-25","4","2","2","0","227","2249709"
"446","M","26-35","20","3","3","1","147","1163876"
"447","F","36-45","2","1","1","0","13","139409"
"448","M","36-45","0","1","1","0","91","925393"
"449","M","18-25","4","2","3","0","140","1258777"
"450","M","51-55","16","3","2","1","23","232568"
"451","F","18-25","4","1","4","0","15","130256"
"452","M","46-50","18","3","3","0","22","133770"
"453","M","51-55","7","2","1","0","285","2533863"
"454","M","18-25","16","3","2","1","105","954229"
"455","M","26-35","7","1","5","1","69","400469"
"456","F","18-25","4","1","4","0","56","509284"
"457","M","18-25","19","3","3","0","16","130258"
"458","M","26-35","5","1","3","0","117","1121881"
"459","F","36-45","3","2","5","1","39","276763"
"460","F","0-17","10","2","2","0","18","162270"
"461","M","36-45","6","2","1","1","26","295735"
"462","F","0-17","10","3","3","0","33","216986"
"463","M","36-45","7","1","4","0","60","696526"
"464","F","18-25","4","1","2","0","32","273687"
"465","M","26-35","17","2","2","0","174","1533936"
"466","M","36-45","0","2","1","0","229","2418712"
"467","M","36-45","14","1","2","0","110","1454797"
"468","M","51-55","16","1","3","0","26","245682"
"469","M","26-35","12","3","1","0","51","528144"
"470","F","18-25","4","3","2","0","56","510436"
"471","M","46-50","7","3","3","0","103","969601"
"472","M","26-35","14","1","3","1","436","3539036"
"473","M","18-25","12","1","5","0","22","155614"
"474","F","0-17","10","1","3","0","18","165869"
"475","M","55+","7","3","3","1","27","224034"
"476","M","55+","0","3","1","0","25","223191"
"477","F","36-45","17","2","1","1","26","212265"
"478","M","26-35","12","2","3","1","15","149115"
"479","M","18-25","4","1","4","1","13","110421"
"480","M","0-17","10","2","2","0","43","429694"
"481","M","18-25","4","3","3","0","9","97980"
"482","M","26-35","12","1","1","0","15","111812"
"483","M","51-55","7","3","2","1","86","847881"
"484","M","18-25","10","1","2","0","25","288476"
"485","M","18-25","4","1","4","0","67","885241"
"486","F","26-35","17","3","1","0","17","147295"
"487","M","36-45","17","1","2","0","94","798918"
"488","F","26-35","1","1","2","0","119","1039288"
"489","F","18-25","2","1","1","0","52","351345"
"490","M","26-35","2","3","5","1","37","323164"
"491","M","36-45","6","2","2","0","14","133504"
"492","M","36-45","11","3","1","1","15","166173"
"493","M","26-35","2","3","3","0","52","542744"
"494","M","36-45","17","3","3","1","60","700731"
"495","M","26-35","16","3","2","0","51","456426"
"496","F","26-35","0","1","5","1","21","182769"
"497","M","26-35","12","2","1","0","79","867383"
"498","M","26-35","2","1","1","1","406","3699995"
"499","M","18-25","12","3","4","0","62","772191"
"500","F","46-50","4","3","2","1","14","129493"
"501","M","36-45","0","3","2","1","22","158297"
"502","M","26-35","0","3","5","0","80","649592"
"503","M","26-35","2","1","2","1","54","611777"
"504","M","26-35","1","1","1","1","81","816456"
"505","F","55+","14","3","3","0","160","1210786"
"506","F","26-35","14","1","2","0","90","752931"
"507","F","36-45","12","3","5","0","134","1371484"
"508","F","36-45","14","3","5","1","28","217106"
"509","F","36-45","20","1","3","0","167","1525309"
"510","M","55+","7","1","3","0","23","239233"
"511","M","26-35","12","3","2","0","30","354616"
"512","M","51-55","7","1","2","1","48","593667"
"513","M","18-25","0","1","1","0","558","5212846"
"514","M","36-45","6","3","3","0","24","245538"
"515","M","46-50","17","3","2","1","29","429159"
"516","F","26-35","2","2","3","1","11","86600"
"517","M","36-45","12","3","2","0","62","740947"
"518","M","26-35","2","1","2","1","62","721232"
"519","F","18-25","14","2","1","0","489","3661969"
"520","M","26-35","7","3","3","0","16","188041"
"521","M","26-35","12","1","2","0","325","2940570"
"522","M","26-35","15","2","4","1","54","542822"
"523","M","36-45","6","2","4","1","11","100277"
"524","M","26-35","20","3","2","0","122","1407088"
"525","M","55+","16","3","3","1","29","378958"
"526","M","26-35","2","3","5","0","70","942604"
"527","M","18-25","1","2","2","0","23","225022"
"528","F","18-25","4","3","4","0","111","975026"
"529","M","26-35","5","2","5","1","345","3645901"
"530","M","36-45","12","2","3","0","47","471516"
"531","M","36-45","17","3","3","0","19","154036"
"532","F","26-35","0","2","1","0","128","898026"
"533","M","36-45","12","2","4","0","48","537579"
"534","F","36-45","16","3","2","1","70","587545"
"535","M","26-35","6","1","4","0","631","6310604"
"536","M","46-50","8","2","2","1","548","5327346"
"537","M","36-45","20","1","5","1","140","1186467"
"538","M","51-55","18","3","4","1","64","676472"
"539","M","26-35","2","2","2","0","37","271381"
"540","M","26-35","12","3","1","1","17","126199"
"541","M","18-25","4","2","5","0","28","285440"
"542","F","26-35","9","2","5","0","127","1042152"
"543","M","55+","1","1","4","0","29","368862"
"544","F","26-35","7","3","2","0","10","96405"
"545","M","46-50","15","3","2","1","79","1116316"
"546","F","18-25","14","3","4","1","18","156592"
"547","M","36-45","20","3","3","0","18","250158"
"548","M","26-35","4","1","4","0","194","1586728"
"549","M","46-50","1","3","2","0","22","213625"
"550","M","26-35","16","2","1","0","13","100653"
"551","M","26-35","17","1","4","0","281","2114702"
"552","M","36-45","20","3","4","0","43","692946"
"553","F","51-55","17","3","2","1","17","213883"
"554","F","18-25","4","3","4","1","79","590043"
"555","M","26-35","4","1","5","0","143","1217900"
"556","M","51-55","5","3","4","1","69","799254"
"557","M","18-25","4","1","1","0","9","60660"
"558","F","36-45","2","2","1","0","22","216145"
"559","M","26-35","19","3","5","1","11","132332"
"560","M","26-35","12","2","1","1","94","1076848"
"561","F","46-50","15","3","2","1","36","382847"
"562","M","36-45","0","1","4","0","84","995545"
"563","M","18-25","17","3","4","0","13","154598"
"564","M","26-35","5","3","3","0","38","370946"
"565","M","0-17","10","3","2","0","24","260686"
"566","M","51-55","14","3","2","1","33","282311"
"567","M","18-25","4","3","5","0","45","486957"
"568","F","26-35","0","1","5","0","100","994841"
"569","F","26-35","0","2","2","0","21","252781"
"570","M","18-25","1","1","2","0","85","885031"
"571","M","36-45","14","3","4","1","16","245540"
"572","M","26-35","20","2","4","0","199","1363517"
"573","F","26-35","11","2","2","0","261","2439535"
"574","M","18-25","2","1","2","0","17","157733"
"575","F","36-45","6","3","2","0","98","970985"
"576","M","26-35","0","3","2","0","130","1046568"
"577","M","18-25","0","1","2","1","14","234872"
"578","F","51-55","1","3","5","0","51","395068"
"579","F","55+","13","2","4","0","89","704523"
"580","M","26-35","7","1","2","0","57","543253"
"581","F","26-35","1","3","3","1","22","163598"
"582","M","36-45","12","3","4","1","31","322571"
"583","M","36-45","7","3","2","1","17","160180"
"584","M","51-55","6","1","4","1","17","163914"
"585","M","36-45","17","3","1","1","16","138687"
"586","F","18-25","20","2","4","1","211","1647626"
"587","F","55+","6","3","3","0","87","912155"
"588","F","26-35","6","3","2","1","36","376016"
"589","M","46-50","17","3","3","1","170","1806758"
"590","F","18-25","4","3","1","0","63","700369"
"591","F","0-17","10","3","3","0","21","181525"
"592","M","26-35","0","3","3","1","10","116019"
"593","M","18-25","4","3","4","1","89","718554"
"594","M","26-35","7","2","2","0","27","418486"
"595","M","26-35","4","2","2","0","69","672151"
"596","M","36-45","0","3","2","0","72","778788"
"597","M","51-55","7","3","2","0","28","303968"
"598","M","36-45","20","3","2","1","49","406785"
"599","M","51-55","17","3","4","0","53","708302"
